Name,HSP No.,E-value,Perc ID,Score,Organism,Coge Feature ID
AT5G65550.1,1,0,100,952,Arabidopsis thaliana Col-0 (thale cress),660993462
AT5G49690.mRNA1,2,1.00E-130,48.6,424,Arabidopsis thaliana Col-0 (thale cress),660981890
AT2G22590.mRNA1,3,6.00E-129,46.9,419,Arabidopsis thaliana Col-0 (thale cress),660856671
AT4G27560.1,4,6.00E-58,31.4,212,Arabidopsis thaliana Col-0 (thale cress),660939325
AT5G53990.mRNA1,5,3.00E-57,32.4,209,Arabidopsis thaliana Col-0 (thale cress),660984981
AT4G27570.1,6,7.00E-57,30.7,209,Arabidopsis thaliana Col-0 (thale cress),660939330
AT5G54010.mRNA1,7,1.00E-56,31,207,Arabidopsis thaliana Col-0 (thale cress),660984991
AT3G29630.mRNA1,8,3.00E-56,31.7,207,Arabidopsis thaliana Col-0 (thale cress),660897465
AT1G64910.1,9,2.00E-55,31.3,204,Arabidopsis thaliana Col-0 (thale cress),660830275
AT2G22930.1,10,2.00E-54,30.9,201,Arabidopsis thaliana Col-0 (thale cress),660856936
AT1G64920.mRNA1,11,3.00E-52,30.1,195,Arabidopsis thaliana Col-0 (thale cress),660830282
AT4G09500.1,12,1.00E-51,30.6,193,Arabidopsis thaliana Col-0 (thale cress),660925286
AT1G50580.mRNA1,13,1.00E-51,31,193,Arabidopsis thaliana Col-0 (thale cress),660820369
AT5G54060.1,14,5.00E-47,30,179,Arabidopsis thaliana Col-0 (thale cress),660985021
AT2G36750.1,15,9.00E-47,29.4,178,Arabidopsis thaliana Col-0 (thale cress),660867320
AT3G53150.1,16,9.00E-44,29.2,169,Arabidopsis thaliana Col-0 (thale cress),660909186
AT4G34131.mRNA1,17,2.00E-42,27.3,165,Arabidopsis thaliana Col-0 (thale cress),660944361
AT2G36770.mRNA1,18,6.00E-41,29.2,161,Arabidopsis thaliana Col-0 (thale cress),660867332
AT2G36780.1,19,2.00E-39,29.2,156,Arabidopsis thaliana Col-0 (thale cress),660867335
AT3G53160.1,20,1.00E-37,29.7,150,Arabidopsis thaliana Col-0 (thale cress),660909191
AT2G36800.1,21,6.00E-36,28.8,145,Arabidopsis thaliana Col-0 (thale cress),660867354
AT2G36760.1,22,1.00E-35,27.5,144,Arabidopsis thaliana Col-0 (thale cress),660867325
AT2G36790.mRNA1,23,1.00E-33,29.1,138,Arabidopsis thaliana Col-0 (thale cress),660867342
AT4G36770.mRNA1,24,1.00E-33,29.3,138,Arabidopsis thaliana Col-0 (thale cress),660946273
AT5G12890.1,25,4.00E-33,25.5,137,Arabidopsis thaliana Col-0 (thale cress),660956855
AT4G01070.mRNA2,26,1.00E-31,29.1,132,Arabidopsis thaliana Col-0 (thale cress),660917815
AT2G29730.1,27,3.00E-31,25.4,130,Arabidopsis thaliana Col-0 (thale cress),660861983
AT1G01420.mRNA1,28,3.00E-31,30,130,Arabidopsis thaliana Col-0 (thale cress),660789100
AT3G50740.mRNA1,29,1.00E-30,31.4,129,Arabidopsis thaliana Col-0 (thale cress),660907349
AT5G66690.1,30,3.00E-30,25.6,127,Arabidopsis thaliana Col-0 (thale cress),660994420
AT2G18570.1,31,7.00E-30,32.1,126,Arabidopsis thaliana Col-0 (thale cress),660853677
AT2G18560.1,32,1.00E-29,33.9,125,Arabidopsis thaliana Col-0 (thale cress),660853672
AT2G23250.1,33,3.00E-29,28.8,124,Arabidopsis thaliana Col-0 (thale cress),660857234
AT5G26310.1,34,6.00E-29,25.2,123,Arabidopsis thaliana Col-0 (thale cress),660965913
AT2G29710.1,35,8.00E-29,32.4,123,Arabidopsis thaliana Col-0 (thale cress),660861973
AT1G51210.1,36,7.00E-29,27.9,123,Arabidopsis thaliana Col-0 (thale cress),660820762
AT1G73880.mRNA1,37,8.00E-29,29.3,123,Arabidopsis thaliana Col-0 (thale cress),660836701
AT5G03490.1,38,2.00E-28,26.9,121,Arabidopsis thaliana Col-0 (thale cress),660950508
AT5G17050.1,39,2.00E-28,33.3,121,Arabidopsis thaliana Col-0 (thale cress),660959739
AT2G23260.1,40,2.00E-28,28.5,121,Arabidopsis thaliana Col-0 (thale cress),660857239
AT1G05560.1,41,2.00E-27,25.1,118,Arabidopsis thaliana Col-0 (thale cress),660792083
AT2G31790.mRNA1,42,9.00E-27,33.7,116,Arabidopsis thaliana Col-0 (thale cress),660863495
AT1G07250.mRNA1,43,8.00E-27,32.7,116,Arabidopsis thaliana Col-0 (thale cress),660793377
AT4G15480.mRNA1,44,1.00E-26,28.1,115,Arabidopsis thaliana Col-0 (thale cress),660930019
AT1G05675.1,45,2.00E-26,37.1,115,Arabidopsis thaliana Col-0 (thale cress),660792193
AT1G30530.mRNA1,46,2.00E-26,31.4,115,Arabidopsis thaliana Col-0 (thale cress),660810303
AT5G05880.1,47,9.00E-26,32.6,113,Arabidopsis thaliana Col-0 (thale cress),660952198
AT3G21790.mRNA1,48,1.00E-25,33.1,112,Arabidopsis thaliana Col-0 (thale cress),660891470
